id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
130,190 000₽,Днепр К-750,200 км,Туристический,1960,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 5 октября
131,330 000₽,BMW G 310 R,5 км,Классика,2018,313 куб. см.,2х тактный,Исправен,Есть ПТС,Солнечногорск, 4 октября
132,295 000₽,Honda X4,50 000 км,Классика,2001,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Чехов, 4 октября
133,249 999₽,Yamaha XJR 1300,46 000 км,Классика,2003,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 октября
134,1 100 000₽,Yamaha MT-10,5 180 км,Спорт-турист,2016,160 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 3 октября
135,31 000₽,Kayo YX125,2 000 км,Питбайк,2014,125 куб. см.,4х тактный,None,Есть ПТС,Москва, 3 октября
136,400 000₽,Honda Shadow Phantom,11 875 км,Круизер,2011,745 куб. см.,None,Исправен,Есть ПТС,Москва, 2 октября
137,220 000₽,Honda CB 600,25 000 км,Классика,2000,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 октября
138,150 000₽,Zongshen ZS250GY-3,650 км,Туристический,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 октября
139,1 600 000₽,Honda GL 1800,12 700 км,Туристический,2013,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 1 октября
140,275 000₽,Yamaha FZ 6,33 458 км,None,2008,600 куб. см.,None,Исправен,Есть ПТС,Москва, 1 октября
141,Цена не указана,Sym Maxsym,19 500 км,None,2016,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 сентября
142,165 000₽,Иж 350,70 000 км,Чоппер,1958,350 куб. см.,2х тактный,Неисправен,Без ПТС,Москва,30 сентября
143,450 000₽,BMW K 1200 LT,90 000 км,Туристический,2001,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
144,650 000₽,BMW F 800 GT,8 100 км,Туристический,2016,798 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
145,335 000₽,Yamaha XJ 600 S Diversion,20 000 км,Классика,2013,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
146,480 000₽,Suzuki GSX-R 600,18 000 км,Спортивный,2012,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
147,520 000₽,Kawasaki Ninja ZX-6R,7 500 км,Спортивный,2012,636 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
148,300 000₽,Kawasaki VN Vulcan 900,19 300 км,Чоппер,2008,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,26 сентября
149,240 000₽,Honda Shadow 750,33 600 км,Чоппер,2004,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,26 сентября
150,750 000₽,BMW,44 000 км,Туристический,2013,1 200 куб. см.,None,Исправен,Есть ПТС,Москва,26 сентября
151,62 000₽,Yamaha TT-R,80 км,Эндуро,2012,125 куб. см.,4х тактный,Исправен,Без ПТС,Москва,25 сентября
152,450 000₽,Kawasaki Z 800,35 000 км,Стритфайтер,2014,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
153,260 000₽,Kawasaki Ninja 300,18 900 км,Спортивный,2014,300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
154,30 000₽,Урал М-67 36,10 км,Классика,2017,650 куб. см.,4х тактный,Исправен,Без ПТС,Котельники,25 сентября
155,125 000₽,Yamaha XVS 400,54 000 км,Круизер,2000,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
156,125 000₽,Yamaha XVS 400,54 000 км,Круизер,2000,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 сентября
157,770 000₽,BMW R nineT,1 667 км,Классика,2014,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 сентября
159,69 900₽,Jmc 125-MX,1 км,Эндуро,2017,125 куб. см.,4х тактный,Исправен,Без ПТС,Серпухов,23 сентября
160,57 000₽,Kawasaki ZZR 400,40 000 км,Спорт-турист,1994,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 сентября
161,135 000₽,Yamaha BIG SAM GMG 250 продаеться в керчи,1 400 км,Круизер,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 сентября
162,295 000₽,Yamaha FZ 6,51 500 км,Спорт-турист,2008,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 сентября
163,130 000₽,Yamaha SRX 400,18 400 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
164,130 000₽,Yamaha SRX 400,18 800 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
166,350 000₽,Kawasaki VN Vulcan 900,2 300 км,Чоппер,2014,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
167,255 000₽,Honda VT 1100,45 000 км,Круизер,1996,1 100 куб. см.,4х тактный,Исправен,Есть ПТС,Одинцово,20 сентября
168,450 000₽,Harley-Davidson V-Rod,18 000 км,Чоппер,2003,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 сентября
169,190 000₽,Yamaha XVS 400,29 000 км,Чоппер,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
170,115 000₽,Suzuki Bandit,27 000 км,Классика,1997,397 куб. см.,4х тактный,Исправен,Есть ПТС,Люберцы,19 сентября
171,210 000₽,Honda XL 1000V Varadero,45 000 км,Туристический,2000,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Серпухов,19 сентября
172,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
173,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
174,59 990₽,Yamaha,36 851 км,Классика,2014,125 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,18 сентября
175,1 000 000₽,Honda VFR 1200F,20 000 км,Спорт-турист,2016,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
176,140 000₽,Урал М-67,38 000 км,Классика,1976,649 куб. см.,4х тактный,Исправен,Есть ПТС,Одинцово,18 сентября
178,500 000₽,Big Bear Choppers,3 000 км,Круизер,1982,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
179,260 000₽,Suzuki GSR 600,49 000 км,Классика,2009,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
180,275 000₽,Husaberg,10 км,Эндуро,2014,125 куб. см.,2х тактный,Исправен,Без ПТС,Москва,18 сентября
181,350 000₽,Suzuki GSX-R 1000,25 000 км,Спортивный,2008,1 000 куб. см.,4х тактный,None,Есть ПТС,Москва,18 сентября
182,32 600₽,BSE PH10-140E 17/14,1 км,Питбайк,2015,140 куб. см.,4х тактный,Исправен,Без ПТС,Москва,18 сентября
183,400 000₽,KTM 990 SM T,47 000 км,Туристический,2010,990 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 сентября
184,160 000₽,Honda CB 1300,62 000 км,Классика,1999,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 сентября
185,370 000₽,Honda ST 1300,76 500 км,Спорт-турист,2002,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 сентября
186,170 000₽,Suzuki VS 800 Intruder,77 698 км,Чоппер,1997,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 сентября
187,150 000₽,Honda Steed 600,35 000 км,Чоппер,1992,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 сентября
188,60 000₽,Patron Taker 250,10 589 км,Классика,2012,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
189,151 000₽,Avantis,1 км,Эндуро,2018,223 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
190,670 000₽,Harley-Davidson Dyna Super Glide Sport FXDX,31 000 км,Кастом,2018,1 449 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
191,99 999₽,Honda CB 400SF VTEC-1,None,Классика,1999,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 сентября
192,72 000₽,Kawasaki ZZR 600 Ninja,24 998 км,Спорт-турист,1998,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 сентября
193,420 000₽,Suzuki Boulevard M109R,18 000 км,Чоппер,2006,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
194,50 000₽,Урал,12 000 км,None,1967,400 куб. см.,4х тактный,Исправен,Без ПТС,Москва,11 сентября
195,400 000₽,Kawasaki Ninja ZX-6R,5 000 км,Спортивный,2003,636 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
196,215 000₽,Suzuki Intruder,31 955 км,Чоппер,2009,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
198,235 000₽,Suzuki GSX-R 1000,20 000 км,Спортивный,2004,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
